Tree_ID,Address,Town,Tree_Species,Species_Desc,Common_Name,Age_Desc,Height,Spread,Trunk,Actual_Trunk,Condition,Latitude,Longitude
610696,"Forestfields Road, Swords",Swords South,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,29cm,Fair - Poor,53.45104533,-6.236615309
610840,"Forestfields Road, Swords",Swords South,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Young,Up to 5 metres,Up to 3 metres,11cm to 20cm,14cm,Fair to Good,53.45156705,-6.237186358
610896,"Forestfields Road, Swords",Swords South,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,21cm,Fair,53.45219475,-6.236944622
611684,"Gartan Drive, Swords",Swords North,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,14cm,Fair,53.464777,-6.207334736
612328,"Highfield Crescent, Swords",Swords South,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Mature,5.1-10 metres,Up to 3 metres,11cm to 20cm,20cm,Fair to Good,53.45416556,-6.231170989
504256,"Mourne View, Skerries",Skerries,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,19cm,Good,53.58137062,-6.12281157
504680,"Newtown Parks, Skerries",Skerries,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,15cm,Fair to Good,53.57587154,-6.117423782
73832,"Blackberry Lane, Portmarnock",Portmarnock,ACPL,Acer platanoides,Norway Maple,Semi-Mature,10.1- 15 metres,3 to 6 metres,31cm to 40cm,33cm,Fair to Good,53.42870504,-6.131817679
113424,"Delwood Close, Blanchardstown",Blanchardstown,SOARI,Sorbus aria,Whitebeam,Mature,5.1-10 metres,3 to 6 metres,31cm to 40cm,31cm,Fair to Good,53.38009255,-6.387168499
67976,Swords Town Park,Swords North,TICO,Tilia cordata,Small-Leafed Lime,Young,5.1-10 metres,3 to 6 metres,11cm to 20cm,11cm,Good,53.4605706,-6.220016006
603244,"Castle Avenue, Swords",Swords North,TICO,Tilia cordata,Small-Leafed Lime,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,19cm,Fair,53.45659897,-6.215219827
323720,"Seapark, Malahide",Malahide,TISP,Tilia spp.,Lime,Semi-Mature,5.1-10 metres,6 to 9 metres,31cm to 40cm,34cm,Good,53.44845144,-6.144280403
614428,"Hilltown Grove, Swords",Swords South,ACPL,Acer platanoides,Norway Maple,Mature,5.1-10 metres,9 to 12 metres,41cm - 50cm,41cm,Fair to Good,53.45432378,-6.238641145
116208,"Burrowfield Road, Baldoyle",Sutton West,ACPL,Acer platanoides,Norway Maple,Mature,10.1- 15 metres,9 to 12 metres,41cm - 50cm,46cm,Good,53.39267352,-6.122740978
119412,"Glenville Grove, Blanchardstown",Blanchardstown,SOAU,Sorbus aucuparia,Rowan (Mountain Ash),Young,Up to 5 metres,Up to 3 metres,11cm to 20cm,11cm,Good,53.38152582,-6.388372673
20232,"Brookdale Walk, Swords",Swords South,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,26cm,Fair to Good,53.45498221,-6.248907842
625080,"Saint Cronan's Avenue, Swords",Swords North,ACPL,Acer platanoides,Norway Maple,Mature,5.1-10 metres,3 to 6 metres,31cm to 40cm,32cm,Good,53.46006632,-6.241360513
625172,"Saint Cronan's Avenue, Swords",Swords North,ACPL,Acer platanoides,Norway Maple,Mature,5.1-10 metres,6 to 9 metres,31cm to 40cm,35cm,Fair,53.46073752,-6.24105164
129636,"Tuscany Park, Baldoyle",Sutton West,ACPL,Acer platanoides,Norway Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,17cm,Good,53.39482924,-6.133596795
207668,"Castleknock Elms, Castleknock",Carpenterstown,BEPE,Betula pendula,Silver Birch,Mature,10.1- 15 metres,6 to 9 metres,31cm to 40cm,37cm,Fair to Good,53.37673826,-6.371718414
232004,"Parkmore, Castleknock",Castleknock,FREX,Fraxinus excelsior,Common Ash,Semi-Mature,5.1-10 metres,3 to 6 metres,21cm to 30cm,28cm,Good,53.37777373,-6.356187387
235232,"Stockton Park, Castleknock",Castleknock,PRCEN,Prunus cerasifera 'Nigra',Myrobalan (Purple) Plum,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,16cm,Dead,53.37246065,-6.357595195
324028,"Talbot Road, Malahide",Malahide,TIXEU,Tilia x europaea,Common Lime,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,14cm,Good,53.44844453,-6.182613115
620852,"River Valley Close, Swords",Swords South,BEPE,Betula pendula,Silver Birch,Newly Planted,Up to 5 metres,Up to 3 metres,1cm - 10cm,3cm,Poor,53.45486512,-6.240855318
312268,"Muldowney Court, Malahide",Malahide,FREX,Fraxinus excelsior,Common Ash,Mature,10.1- 15 metres,6 to 9 metres,31cm to 40cm,31cm,Fair - Poor,53.44790397,-6.138471281
229724,"Park Avenue, Castleknock",Castleknock,PRSE,Prunus serrula,Tibetan cherry,Semi-Mature,5.1-10 metres,3 to 6 metres,31cm to 40cm,31cm,Fair - Poor,53.37341056,-6.366215749
303432,"Castle Lawns, Malahide",Malahide,TIXEU,Tilia x europaea,Common Lime,Semi-Mature,5.1-10 metres,6 to 9 metres,21cm to 30cm,24cm,Good,53.45357488,-6.184845912
322788,"Seapark, Malahide",Malahide,ACPLS,Acer platanoides 'Crimson Sentry',Norway Maple,Mature,10.1- 15 metres,6 to 9 metres,31cm to 40cm,32cm,Fair to Good,53.44595917,-6.139064229
627688,"The Nurseries, Swords",Swords South,ACCA,Acer campestre,Field Maple,Semi-Mature,5.1-10 metres,3 to 6 metres,11cm to 20cm,20cm,Good,53.44847191,-6.236591458
